Method,Throughput_act,Mismatch,fp,fsoc,soc_span_actual,n_cycles_total,damage_index
SMA,3559.549,4782.972,0.51,0.231,0.281,38.5,0.000457
EMA,3428.979,4062.952,0.455,0.266,0.284,43.5,0.000525
