label,date,method,window_name,param_name,param_value,scenario,Ecap_kwh,Pbatt_max_kw,soc_min,soc_max,soc0,ramp_p95_kw_target,ramp_p95_kw_actual,throughput_req_kwh,throughput_act_kwh,energy_mismatch_kwh,power_limit_frac,soc_limit_frac,efc_act
medium,2025-03-15,SMA,20min,N,4.0,large,6000.0,1500.0,0.2,0.8,0.5,310.03749999999997,310.03749999999997,2482.3541666666665,2482.3541666666665,0.0,0.0,0.0,0.2068628472222222
medium,2025-03-15,SMA,30min,N,6.0,large,6000.0,1500.0,0.2,0.8,0.5,212.06666666666646,212.06666666666646,3126.319444444444,3126.319444444444,2.3684757858670005e-15,0.0,0.0,0.26052662037037033
medium,2025-03-15,SMA,60min,N,12.0,large,6000.0,1500.0,0.2,0.8,0.5,139.42083333333332,139.42083333333332,4346.965277777777,4344.472222222223,2.493055555555577,0.007407407407407408,0.0,0.3620393518518519
clear,2024-06-05,EMA,10min,alpha,0.6666666666666666,small,2000.0,500.0,0.2,0.8,0.5,173.18046220971405,173.18046220971405,316.8770839452977,316.8770839452977,0.0,0.0,0.0,0.07921927098632443
clear,2024-06-05,EMA,20min,alpha,0.4,small,2000.0,500.0,0.2,0.8,0.5,169.1896698834399,169.1896698834399,907.5867432494863,907.5867432494863,0.0,0.0,0.0,0.22689668581237157
clear,2024-06-05,EMA,30min,alpha,0.2857142857142857,small,2000.0,500.0,0.2,0.8,0.5,161.5538707586902,165.91662299496483,1466.205391044694,1291.807283598266,174.39810744642818,0.0,0.18235294117647058,0.3229518208995665
clear,2024-06-05,EMA,60min,alpha,0.15384615384615385,small,2000.0,500.0,0.2,0.8,0.5,147.4278354304004,175.0,2980.7118505407057,1560.0045903873424,1420.707260153363,0.15294117647058825,0.23529411764705882,0.39000114759683563
clear,2024-06-05,SMA,10min,N,2.0,small,2000.0,500.0,0.2,0.8,0.5,175.5,175.5,332.7083333333333,332.7083333333333,0.0,0.0,0.0,0.08317708333333333
clear,2024-06-05,SMA,20min,N,4.0,small,2000.0,500.0,0.2,0.8,0.5,168.95,168.95,938.6666666666666,938.6666666666666,0.0,0.0,0.0,0.23466666666666666
clear,2024-06-05,SMA,30min,N,6.0,small,2000.0,500.0,0.2,0.8,0.5,165.8,166.0,1514.3055555555552,1338.9027777777778,175.4027777777775,0.0,0.17647058823529413,0.33472569444444444
clear,2024-06-05,SMA,60min,N,12.0,small,2000.0,500.0,0.2,0.8,0.5,161.0666666666666,174.6,3157.243055555555,1615.9791666666656,1541.2638888888896,0.16470588235294117,0.21764705882352942,0.4039947916666664
cloudy,2024-04-03,EMA,10min,alpha,0.6666666666666666,small,2000.0,500.0,0.2,0.8,0.5,1631.034240697516,1953.7288412771245,2359.443138650504,1972.2730551504715,387.17008350003255,0.14685314685314685,0.0,0.49306826378761787
