label,date,method,window_name,param_name,param_value,scenario,active_points,soc_min_actual,soc_max_actual,soc_span_actual,n_turning_points,n_cycles_total,dominant_dod_mid,dominant_cycle_count,damage_index,param_name_feas,param_value_feas,Ecap_kwh,Pbatt_max_kw,soc_min,soc_max,soc0,ramp_p95_kw_target,ramp_p95_kw_actual,throughput_req_kwh,throughput_act_kwh,energy_mismatch_kwh,power_limit_frac,soc_limit_frac,efc_act
clear,2024-06-05,EMA,10min,alpha,0.6666666666666666,large,170,0.5016337448559671,0.5258522018961849,0.024218457040217745,47,45.0,0.025,45.0,0.000523224834379183,alpha,0.6666666666666666,6000.0,1500.0,0.2,0.8,0.5,173.18046220971405,173.18046220971405,316.8770839452977,316.8770839452977,0.0,0.0,0.0,0.0264064236621081
clear,2024-06-05,EMA,20min,alpha,0.4,large,170,0.5035600000000001,0.5775098492803994,0.07394984928039927,39,37.0,0.025,36.0,0.00043020708604510604,alpha,0.4,6000.0,1500.0,0.2,0.8,0.5,169.1896698834399,169.1896698834399,907.5867432494864,907.5867432494864,0.0,0.0,0.0,0.0756322286041238
clear,2024-06-05,EMA,30min,alpha,0.2857142857142857,large,170,0.5046061826090981,0.6290663512410712,0.12446016863197318,27,25.0,0.025,24.0,0.00029234149476424194,alpha,0.2857142857142857,6000.0,1500.0,0.2,0.8,0.5,161.5538707586902,161.5538707586902,1466.205391044694,1466.205391044694,0.0,0.0,0.0,0.1221837825870578
clear,2024-06-05,EMA,60min,alpha,0.15384615384615385,large,170,0.5060086637178126,0.7826342572138416,0.276625593496029,21,19.0,0.025,18.0,0.00023520819180141605,alpha,0.1538461538461538,6000.0,1500.0,0.2,0.8,0.5,147.4278354304004,147.4278354304004,2980.7118505407057,2980.7118505407057,5.921189464667501e-15,0.0,0.0,0.2483926542117254
clear,2024-06-05,SMA,10min,N,2.0,large,170,0.5016388888888892,0.5258819444444447,0.024243055555555504,53,51.5,0.025,51.5,0.0005988017549006206,N,2.0,6000.0,1500.0,0.2,0.8,0.5,175.5,175.5,332.7083333333333,332.7083333333333,0.0,0.0,0.0,0.0277256944444444
clear,2024-06-05,SMA,20min,N,4.0,large,170,0.5045138888888889,0.5775694444444445,0.07305555555555554,37,35.0,0.025,34.0,0.0004069526489615868,N,4.0,6000.0,1500.0,0.2,0.8,0.5,168.95,168.95,938.6666666666666,938.6666666666666,0.0,0.0,0.0,0.0782222222222222
clear,2024-06-05,SMA,30min,N,6.0,large,170,0.5056574074074074,0.6292337962962962,0.12357638888888878,33,31.0,0.025,30.0,0.0003621048060147997,N,6.0,6000.0,1500.0,0.2,0.8,0.5,165.8,165.8,1514.3055555555552,1514.3055555555552,0.0,0.0,0.0,0.1261921296296296
clear,2024-06-05,SMA,60min,N,12.0,large,170,0.5068009259259258,0.7838391203703704,0.27703819444444455,17,15.0,0.025,14.0,0.00018869931763437756,N,12.0,6000.0,1500.0,0.2,0.8,0.5,161.0666666666666,161.0666666666666,3157.243055555555,3157.243055555555,1.5395092608135503e-14,0.0,0.0,0.2631035879629629
cloudy,2024-04-03,EMA,10min,alpha,0.6666666666666666,large,143,0.5015951646090534,0.5262702914698281,0.024675126860774665,57,54.0,0.025,54.0,0.0006278698012550197,alpha,0.6666666666666666,6000.0,1500.0,0.2,0.8,0.5,1631.034240697516,1631.034240697516,2359.443138650504,2359.443138650504,0.0,0.0,0.0,0.1966202615542086
cloudy,2024-04-03,EMA,20min,alpha,0.4,large,143,0.5033854000000001,0.5775599143830471,0.07417451438304701,55,52.5,0.025,51.5,0.0006104289734423802,alpha,0.4,6000.0,1500.0,0.2,0.8,0.5,855.1485803702419,855.1485803702419,4366.951466731291,4359.755977102535,7.195489628755088,0.0139860139860139,0.0,0.3633129980918779
